# flightId,flightNumber,seatNumber,status,firstName,lastName,dateOfBirth
F001,NU100,1A,BOOKED,Test,Passenger,2000-01-01
F001,NU100,1B,AVAILABLE,,,
F001,NU100,1C,AVAILABLE,,,
F001,NU100,1D,AVAILABLE,,,
F001,NU100,1E,AVAILABLE,,,
F001,NU100,1F,AVAILABLE,,,
F001,NU100,2A,AVAILABLE,,,
F001,NU100,2B,AVAILABLE,,,
F001,NU100,2C,AVAILABLE,,,
F001,NU100,2D,AVAILABLE,,,
F001,NU100,2E,AVAILABLE,,,
F001,NU100,2F,AVAILABLE,,,
F001,NU100,3A,AVAILABLE,,,
F001,NU100,3B,AVAILABLE,,,
F001,NU100,3C,AVAILABLE,,,
F001,NU100,3D,AVAILABLE,,,
F001,NU100,3E,AVAILABLE,,,
F001,NU100,3F,AVAILABLE,,,
F001,NU100,4A,AVAILABLE,,,
F001,NU100,4B,AVAILABLE,,,
F001,NU100,4C,AVAILABLE,,,
F001,NU100,4D,AVAILABLE,,,
F001,NU100,4E,AVAILABLE,,,
F001,NU100,4F,AVAILABLE,,,
F001,NU100,5A,AVAILABLE,,,
F001,NU100,5B,AVAILABLE,,,
F001,NU100,5C,AVAILABLE,,,
F001,NU100,5D,AVAILABLE,,,
F001,NU100,5E,AVAILABLE,,,
F001,NU100,5F,AVAILABLE,,,
F002,NU245,1A,AVAILABLE,,,
F002,NU245,1B,AVAILABLE,,,
F002,NU245,1C,AVAILABLE,,,
F002,NU245,1D,AVAILABLE,,,
F002,NU245,2A,AVAILABLE,,,
F002,NU245,2B,AVAILABLE,,,
F002,NU245,2C,AVAILABLE,,,
F002,NU245,2D,AVAILABLE,,,
F002,NU245,3A,AVAILABLE,,,
F002,NU245,3B,AVAILABLE,,,
F002,NU245,3C,AVAILABLE,,,
F002,NU245,3D,AVAILABLE,,,
F002,NU245,4A,AVAILABLE,,,
F002,NU245,4B,AVAILABLE,,,
F002,NU245,4C,AVAILABLE,,,
F002,NU245,4D,AVAILABLE,,,
F003,NU916,1A,AVAILABLE,,,
F003,NU916,1B,AVAILABLE,,,
F003,NU916,1C,AVAILABLE,,,
F003,NU916,2A,AVAILABLE,,,
F003,NU916,2B,AVAILABLE,,,
F003,NU916,2C,AVAILABLE,,,
F003,NU916,3A,AVAILABLE,,,
F003,NU916,3B,AVAILABLE,,,
F003,NU916,3C,AVAILABLE,,,
F003,NU916,4A,AVAILABLE,,,
F003,NU916,4B,AVAILABLE,,,
F003,NU916,4C,AVAILABLE,,,
F003,NU916,5A,AVAILABLE,,,
F003,NU916,5B,AVAILABLE,,,
F003,NU916,5C,AVAILABLE,,,
